"filename", "language", "Vue", "JavaScript", "XML", "TypeScript", "TypeScript JSX", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\project\stepin-template-main\src\packages\base.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 1, 1, 46
"c:\project\stepin-template-main\src\packages\ckeditor\__index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 112, 54, 29, 195
"c:\project\stepin-template-main\src\packages\ckeditor\index.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 219, 9, 10, 238
"c:\project\stepin-template-main\src\packages\ckeditor\style\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"c:\project\stepin-template-main\src\packages\form.ts", "TypeScript", 0, 0, 0, 270, 0, 0, 0, 11, 4, 285
"c:\project\stepin-template-main\src\packages\formCom.tsx", "TypeScript JSX", 0, 0, 0, 0, 39, 0, 0, 2, 1, 42
"c:\project\stepin-template-main\src\packages\formEditor\componentsConfig.ts", "TypeScript", 0, 0, 0, 549, 0, 0, 0, 35, 1, 585
"c:\project\stepin-template-main\src\packages\formEditor\components\CompleteButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 61, 0, 0, 1, 0, 62
"c:\project\stepin-template-main\src\packages\formEditor\components\DeviceSwitch.vue", "Vue", 26, 0, 0, 0, 0, 0, 0, 10, 3, 39
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Baseinfo\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Baseinfo\mobile.vue", "Vue", 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Baseinfo\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Baseinfo\pc.vue", "Vue", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Cascader\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Cascader\mobile.vue", "Vue", 36, 0, 0, 0, 0, 0, 0, 0, 3, 39
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Cascader\pc.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Cascader\pc.vue", "Vue", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\project\stepin-template-main\src\packages\formEditor\components\FormTypes\Checkbox\Other\mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 7, 3, 31
