Date : 2025-03-20 17:30:29
Directory : c:\project\stepin-template-main\src\packages
Total : 367 files,  18955 codes, 2030 comments, 679 blanks, all 21664 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript     |         32 |      6,333 |      1,203 |        133 |      7,669 |
| Vue            |         72 |      5,102 |        243 |        178 |      5,523 |
| TypeScript JSX |         69 |      3,393 |        268 |        148 |      3,809 |
| SCSS           |         48 |      1,769 |        167 |         91 |      2,027 |
| JavaScript     |         26 |      1,409 |         61 |         86 |      1,556 |
| JavaScript JSX |          5 |        834 |         88 |         42 |        964 |
| XML            |        115 |        115 |          0 |          1 |        116 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                   |        367 |     18,955 |      2,030 |        679 |     21,664 |
| . (Files)                                                                                                           |          6 |        791 |         20 |         34 |        845 |
| ckeditor                                                                                                            |          3 |        333 |         63 |         40 |        436 |
| ckeditor (Files)                                                                                                    |          2 |        331 |         63 |         39 |        433 |
| ckeditor\style                                                                                                      |          1 |          2 |          0 |          1 |          3 |
| formEditor                                                                                                          |        154 |     11,696 |      1,494 |        353 |     13,543 |
| formEditor (Files)                                                                                                  |         11 |      2,680 |        936 |         26 |      3,642 |
| formEditor\components                                                                                               |        139 |      8,427 |        556 |        323 |      9,306 |
| formEditor\components (Files)                                                                                       |          3 |        117 |         14 |          6 |        137 |
| formEditor\components\FormTypes                                                                                     |        107 |      3,187 |        270 |        263 |      3,720 |
| formEditor\components\FormTypes (Files)                                                                             |          1 |         10 |          0 |          1 |         11 |
| formEditor\components\FormTypes\Baseinfo                                                                            |          4 |         57 |          0 |          8 |         65 |
| formEditor\components\FormTypes\Cascader                                                                            |          4 |         99 |          7 |         11 |        117 |
| formEditor\components\FormTypes\Checkbox                                                                            |          8 |        232 |         24 |         20 |        276 |
| formEditor\components\FormTypes\Checkbox (Files)                                                                    |          4 |        107 |          7 |         11 |        125 |
| formEditor\components\FormTypes\Checkbox\Other                                                                      |          4 |        125 |         17 |          9 |        151 |
| formEditor\components\FormTypes\Date                                                                                |          8 |        310 |         24 |         19 |        353 |
| formEditor\components\FormTypes\Date (Files)                                                                        |          4 |        185 |          7 |         10 |        202 |
| formEditor\components\FormTypes\Date\Other                                                                          |          4 |        125 |         17 |          9 |        151 |
| formEditor\components\FormTypes\Divider                                                                             |          8 |        216 |         24 |         20 |        260 |
| formEditor\components\FormTypes\Divider (Files)                                                                     |          4 |         91 |          7 |         11 |        109 |
| formEditor\components\FormTypes\Divider\Other                                                                       |          4 |        125 |         17 |          9 |        151 |
| formEditor\components\FormTypes\Html                                                                                |          8 |        258 |         29 |         20 |        307 |
| formEditor\components\FormTypes\Html (Files)                                                                        |          4 |        133 |         12 |         11 |        156 |
| formEditor\components\FormTypes\Html\Other                                                                          |          4 |        125 |         17 |          9 |        151 |
| formEditor\components\FormTypes\Input                                                                               |          4 |         82 |          7 |         11 |        100 |
